Interval,Orders,"Sales Items","Sales Total",Invoiced,Refunded,"Sales Tax","Sales Shipping","Sales Discount",Canceled
1/2021,119,288,"$15,801.69","$15,801.69",$0.00,$0.00,$892.50,$0.00,$133.30
2/2021,125,342,"$17,276.56","$17,276.56",$0.00,$0.00,$932.50,$5.99,$215.50
3/2021,124,337,"$18,558.40","$18,558.40",$0.00,$0.00,$922.50,$155.04,$37.45
4/2021,127,389,"$28,853.52","$28,853.52",$0.00,$0.00,"$1,125.00",$51.28,$0.00
5/2021,125,319,"$24,450.42","$24,450.42",$0.00,$0.00,"$1,077.50",$719.92,$0.00
6/2021,323,1236,"$72,266.61","$72,312.15",$0.00,$0.00,"$2,552.50","$2,559.28",$45.54
7/2021,231,987,"$44,626.94","$44,626.94",$0.00,$0.00,"$1,852.50",$285.70,$0.00
8/2021,322,845,"$47,758.60","$47,758.60",$0.00,$0.00,"$2,475.00",$229.65,$0.00
9/2021,430,1329,"$65,905.81","$66,000.51",$0.00,$0.00,"$3,477.50",$48.39,$94.70
10/2021,221,568,"$35,263.60","$35,263.60",$0.00,$0.00,"$1,585.00",$10.09,$0.00
11/2021,291,1087,"$53,103.69","$53,103.69",$0.00,$0.00,"$2,532.50",$514.29,$0.00
12/2021,223,729,"$39,961.13","$39,961.13",$0.00,$0.00,"$1,042.50",$0.00,$0.00
Total,2661,8456,"$463,826.97","$463,967.21",$0.00,$0.00,"$20,467.50","$4,579.63",$526.49
