Interval,Orders,"Sales Items","Sales Total",Invoiced,Refunded,"Sales Tax","Sales Shipping","Sales Discount",Canceled
1/2022,94,230,"$20,445.65","$20,445.65",$0.00,$0.00,$217.50,$0.00,$0.00
2/2022,0,0,"$0","$",$0.00,$0.00,$0,$0,$0
3/2022,0,0,"$0","$",$0.00,$0.00,$0,$0,$0
4/2022,0,0,"$0","$",$0.00,$0.00,$0,$0,$0
5/2022,0,0,"$0","$",$0.00,$0.00,$0,$0,$0
6/2022,0,0,"$0","$",$0.00,$0.00,$0,$0,$0
7/2022,0,0,"$0","$",$0.00,$0.00,$0,$0,$0
8/2022,0,0,"$0","$",$0.00,$0.00,$0,$0,$0
9/2022,0,0,"$0","$",$0.00,$0.00,$0,$0,$0
10/2022,0,0,"$0","$",$0.00,$0.00,$0,$0,$0
11/2022,0,0,"$0","$",$0.00,$0.00,$0,$0,$0
12/2022,0,0,"$0","$",$0.00,$0.00,$0,$0,$0
Total,94,230,"$20,445.65","$20,445.65",$0.00,$0.00,$217.50,$0.00,$0.00
